campus_number,district_number,campus_name,district_name,teacher_total_full_time_equiv_count,support_total_full_time_equiv_count,school_admin_total_full_time_equiv_count,educ_aide_total_full_time_equiv_count,teacher_beginning_full_time_equiv_count,teacher_1-5_years_full_time_equiv_count,teacher_6-10_years_full_time_equiv_count,teacher_11-20_years_full_time_equiv_count,teacher_21-30_years_full_time_equiv_count,teacher_>_30_years_full_time_equiv_count,teacher_no_degree_full_time_equiv_count,teacher_ba_degree_full_time_equiv_count,teacher_ms_degree_full_time_equiv_count,teacher_ph_degree_full_time_equiv_count,professional_total_full_time_equiv_count,all_staff_total_full_time_equiv_count,counselor_total_part_time_equiv_count,counselor_total_full_time_equiv_count,librarian_total_part_time_equiv_count,librarian_total_full_time_equiv_count,support_total_base_salary_average,school_admin_total_base_salary_average,teacher_total_base_salary_average,teacher_beginning_base_salary_average,teacher_1-5_years_base_salary_average,teacher_6-10_years_base_salary_average,teacher_11-20_years_base_salary_average,teacher_21-30_years_base_salary_average,teacher_>_30_years_base_salary_average,teacher_american_indian_full_time_equiv_count,teacher_pacific_islander_full_time_equiv_count,teacher_asian_full_time_equiv_count,teacher_african_american_full_time_equiv_count,teacher_hispanic_full_time_equiv_count,teacher_white_full_time_equiv_count,teacher_two_or_more_races_full_time_equiv_count,teacher_male_full_time_equiv_count,teacher_female_full_time_equiv_count,teacher_tenure_average,teacher_experience_average,teacher_regular_program_full_time_equiv_count,teacher_career_&_technical_prgms_full_time_equiv_count,teacher_bilingual_program_full_time_equiv_count,teacher_compensatory_program_full_time_equiv_count,teacher_gifted_&_talented_program_full_time_equiv_count,teacher_special_education_full_time_equiv_count,teacher_other_full_time_equiv_count,contract_serv_total_full_time_equiv_count,principal_experience_average,principal_tenure_average,assistant_principal_experience_average,assistant_principal_tenure_average,all_staff_minority_full_time_equiv_count,teacher_total_full_time_equiv_percent,support_total_full_time_equiv_percent,school_admin_total_full_time_equiv_percent,educ_aide_total_full_time_equiv_percent,professional_total_full_time_equiv_percent,all_staff_minority_full_time_equiv_percent,teacher_beginning_full_time_equiv_percent,teacher_1-5_years_full_time_equiv_percent,teacher_6-10_years_full_time_equiv_percent,teacher_11-20_years_full_time_equiv_percent,teacher_21-30_years_full_time_equiv_percent,teacher_>_30_years_full_time_equiv_percent,teacher_regular_program_full_time_equiv_percent,teacher_career_&_technical_prgms_full_time_equiv_percent,teacher_bilingual_program_full_time_equiv_percent,teacher_compensatory_program_full_time_equiv_percent,teacher_gifted_&_talented_program_full_time_equiv_percent,teacher_special_education_full_time_equiv_percent,teacher_other_full_time_equiv_percent,teacher_no_degree_full_time_equiv_percent,teacher_ba_degree_full_time_equiv_percent,teacher_ms_degree_full_time_equiv_percent,teacher_ph_degree_full_time_equiv_percent,teacher_white_full_time_equiv_percent,teacher_african_american_full_time_equiv_percent,teacher_hispanic_full_time_equiv_percent,teacher_pacific_islander_full_time_equiv_percent,teacher_american_indian_full_time_equiv_percent,teacher_asian_full_time_equiv_percent,teacher_two_or_more_races_full_time_equiv_percent,teacher_male_full_time_equiv_percent,teacher_female_full_time_equiv_percent,teacher_student_ratio
57905001,57905,BRYAN ADAMS H S LEADERSHIP ACADEMY,DALLAS ISD,143.8,13.9,7.6,13.9,10.0,59.3,39.5,21.7,11.2,2.0,5.2,109.4,27.1,2.0,165.2,179.1,0,6,0,1,74521,94631,68674,61000,65600,71258,72923,73541,73663,2.0,0.0,7.2,32.1,47.0,53.4,2.0,70.6,73.2,6.6,8.3,72.6,15.1,12.6,0.0,5.3,15.6,22.5,0.0,1.0,1.0,4.7,4.7,117.7,80.3,7.8,4.2,7.7,92.3,65.7,7.0,41.3,27.5,15.1,7.8,1.4,50.5,10.5,8.8,0.0,3.7,10.9,15.6,3.6,76.1,18.9,1.4,37.1,22.3,32.7,0.0,1.4,5.0,1.4,49.1,50.9,15.6
57905002,57905,W H ADAMSON H S,DALLAS ISD,98.6,9.0,5.2,8.9,7.0,39.7,24.6,20.8,6.5,0.0,8.5,71.9,17.2,1.0,112.8,121.7,0,4,0,0,77640,98433,67571,61000,63920,68934,74071,71034,.,2.0,0.0,2.0,29.5,35.7,25.4,4.1,54.3,44.3,6.2,8.3,46.4,12.8,12.3,0.0,1.8,10.6,14.7,0.0,7.0,7.0,4.5,4.5,87.2,81.0,7.4,4.3,7.3,92.7,71.7,7.1,40.3,25.0,21.1,6.6,0.0,47.0,13.0,12.5,0.0,1.8,10.8,14.9,8.6,72.9,17.4,1.0,25.8,29.9,36.2,0.0,2.0,2.0,4.1,55.1,44.9,14.2
57905003,57905,NEW TECH H S AT B F DARRELL H S,DALLAS ISD,25.1,2.9,2.0,2.0,6.0,10.0,5.0,3.1,1.0,0.0,0.0,18.0,6.1,1.0,30.0,32.0,0,1,0,0,82071,116500,66786,61000,63885,71453,74613,82556,.,0.0,0.0,1.0,8.0,6.1,9.0,1.0,12.0,13.1,4.4,5.5,11.6,4.1,0.5,0.0,0.4,2.5,6.1,0.0,3.0,3.0,10.0,3.0,22.0,78.6,8.9,6.3,6.2,93.8,68.7,23.9,39.8,19.9,12.5,4.0,0.0,46.2,16.4,1.8,0.0,1.7,9.8,24.1,0.0,71.6,24.4,4.0,35.8,31.8,24.4,0.0,0.0,4.0,4.0,47.7,52.3,17
57905005,57905,MOISES E MOLINA H S,DALLAS ISD,137.4,16.0,8.0,20.3,12.0,52.9,34.4,19.3,15.9,3.0,4.2,101.7,27.4,4.1,161.4,181.8,0,8,0,1,76207,100562,67518,61814,64441,69041,70986,72514,78292,1.0,1.0,7.0,49.1,47.6,31.5,0.3,56.7,80.8,7.3,9.1,70.9,14.5,9.6,0.0,3.7,22.6,16.2,0.0,2.0,2.0,7.0,6.8,144.0,75.6,8.8,4.4,11.2,88.8,79.2,8.7,38.5,25.0,14.0,11.6,2.2,51.6,10.5,7.0,0.0,2.7,16.5,11.8,3.1,74.0,20.0,3.0,22.9,35.7,34.6,0.7,0.7,5.1,0.2,41.2,58.8,14.7
57905006,57905,HILLCREST H S,DALLAS ISD,105.8,11.0,5.6,11.9,9.0,34.7,25.5,27.9,6.4,2.2,2.4,77.4,24.1,2.0,122.4,134.3,0,5,0,1,75171,101876,67810,55889,65679,70549,71170,68824,72726,0.0,0.0,7.0,31.8,24.9,40.1,2.0,52.2,53.6,5.9,9.2,52.6,14.8,9.1,0.0,2.1,8.4,18.8,0.0,2.0,2.0,5.3,4.8,87.2,78.8,8.2,4.2,8.8,91.2,64.9,8.5,32.8,24.1,26.4,6.1,2.1,49.7,14.0,8.6,0.0,2.0,8.0,17.7,2.2,73.1,22.8,1.9,37.9,30.1,23.5,0.0,0.0,6.6,1.9,49.4,50.6,15.1
57905007,57905,THOMAS JEFFERSON H S,DALLAS ISD,103.7,16.0,5.6,18.4,7.0,36.9,27.3,16.3,10.9,5.3,1.7,73.5,25.5,3.0,125.2,143.6,0,7,0,0,76946,99018,70127,61000,65300,72976,75466,76081,72440,1.0,0.0,6.0,16.9,28.1,49.7,2.0,52.0,51.7,7.2,9.9,55.4,9.0,14.2,0.0,3.0,8.4,13.6,0.0,3.0,3.0,5.6,4.2,84.9,72.2,11.1,3.9,12.8,87.2,59.1,6.7,35.6,26.3,15.7,10.5,5.1,53.5,8.7,13.7,0.0,2.9,8.1,13.1,1.7,70.8,24.6,2.9,48.0,16.3,27.1,0.0,1.0,5.8,1.9,50.1,49.9,14.3
57905008,57905,JUSTIN F KIMBALL H S,DALLAS ISD,83.8,8.6,7.0,9.9,8.0,29.0,16.9,12.4,10.5,7.0,5.5,57.3,19.0,2.1,99.4,109.3,0,4,0,1,80537,101156,67300,61000,63687,68240,72163,70661,73512,1.0,0.0,1.0,62.8,12.8,6.0,0.2,45.7,38.1,8.5,11.1,41.0,9.2,9.1,0.0,1.2,11.5,11.8,0.0,7.0,7.0,11.2,10.6,100.5,76.6,7.9,6.4,9.0,91.0,92.0,9.5,34.6,20.1,14.8,12.6,8.4,48.9,11.0,10.9,0.0,1.4,13.7,14.1,6.5,68.3,22.7,2.5,7.1,74.9,15.3,0.0,1.2,1.2,0.2,54.5,45.5,15
57905009,57905,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,DALLAS ISD,48.0,10.8,4.6,9.9,2.0,17.3,8.2,8.8,8.7,3.0,0.1,34.7,13.1,0.1,63.3,73.2,0,4,0,0,77072,98587,69294,61000,64468,68968,69740,79066,73989,0.0,0.0,0.3,37.1,4.3,6.4,0.0,25.5,22.5,11.1,12.4,27.7,6.8,1.6,0.0,0.4,5.7,6.0,0.0,2.0,2.0,11.0,11.0,66.8,65.6,14.7,6.2,13.5,86.5,91.3,4.2,36.1,17.1,18.3,18.1,6.2,57.7,14.1,3.3,0.0,0.8,11.8,12.4,0.2,72.2,27.3,0.2,13.3,77.2,8.9,0.0,0.0,0.5,0.0,53.1,46.9,13.7
57905012,57905,DR L G PINKSTON SR H S,DALLAS ISD,74.7,10.0,5.1,10.9,13.0,31.4,13.1,11.3,4.8,1.1,2.9,50.7,18.0,3.2,89.8,100.7,0,4,0,1,74817,94090,67301,61614,65985,68567,73932,70366,75434,0.0,1.0,2.0,44.5,13.9,12.2,1.1,42.1,32.6,6.3,8.6,40.5,5.3,3.8,0.0,2.3,11.4,11.5,0.0,4.0,4.0,3.5,3.5,85.4,74.2,9.9,5.1,10.8,89.2,84.8,17.4,42.0,17.6,15.1,6.4,1.5,54.1,7.1,5.0,0.0,3.1,15.2,15.4,3.9,67.8,24.1,4.2,16.3,59.5,18.7,1.3,0.0,2.7,1.5,56.4,43.6,16.4
57905013,57905,FRANKLIN D ROOSEVELT H S OF INNOVATION,DALLAS ISD,57.0,11.7,6.0,9.9,15.0,14.0,9.2,16.3,1.4,1.0,3.8,40.1,12.1,1.0,74.7,84.6,0,3,0,0,78663,101758,65958,61167,62223,67599,71948,68244,74135,0.0,0.0,5.0,40.6,6.3,4.8,0.2,20.1,36.8,6.5,9.0,31.3,5.8,4.6,0.0,1.0,9.2,5.1,0.0,5.0,1.0,6.0,6.0,78.8,67.4,13.9,7.1,11.7,88.3,93.2,26.3,24.6,16.2,28.7,2.4,1.8,55.0,10.1,8.1,0.0,1.8,16.2,8.9,6.6,70.4,21.2,1.8,8.4,71.3,11.1,0.0,0.0,8.8,0.4,35.3,64.7,11.9
