city,total,in_family_households,in_married-couple_family,in_married-couple_family_relatives,in_married-couple_family_nonrelatives,in_male_householder_no_spouse_present_family,in_male_householder_no_spouse_present_family_relatives,in_male_householder_no_spouse_present_family_nonrelatives,in_female_householder_no_spouse_present_family,in_female_householder_no_spouse_present_family_relatives,in_female_householder_no_spouse_present_family_nonrelatives,in_nonfamily_households
Haslet,2710,2487,2217,2217,0,64,64,0,206,206,0,223
Hickory Creek,5161,4790,3953,3953,0,453,453,0,384,328,56,371
Highland Village,15951,14953,13697,13622,75,310,280,30,946,946,0,998
Justin,4946,4517,4138,4138,0,271,271,0,108,108,0,429
Krugerville,1929,1803,1626,1626,0,104,98,6,73,73,0,126
Krum,5887,5375,3505,3505,0,261,244,17,1609,1344,265,512
Lake Dallas,7740,7116,5330,5312,18,588,588,0,1198,1184,14,624
Lakewood Village,784,738,538,538,0,159,136,23,41,41,0,46
Lantana,12583,12170,11485,11485,0,82,82,0,603,501,102,413
Little Elm,51426,46219,35811,35521,290,3821,3379,442,6587,6116,471,5207
New Fairview,1521,1416,818,812,6,199,191,8,399,391,8,105
Northlake,7138,6556,4733,4645,88,192,161,31,1631,1621,10,582
Oak Point,5395,4415,3741,3741,0,0,0,0,674,626,48,980
Paloma Creek,3250,2853,2207,2207,0,0,0,0,646,646,0,397
Paloma Creek South,8797,7981,7417,7417,0,199,166,33,365,365,0,816
Pilot Point,4688,4251,3938,3938,0,104,104,0,209,209,0,437
Ponder,2524,2301,2117,2117,0,44,33,11,140,118,22,223
Providence Village,8116,7735,6110,6110,0,276,191,85,1349,1288,61,381
Roanoke,9947,8592,7744,7707,37,158,158,0,690,675,15,1355
Sanger,9302,7491,6168,6050,118,501,398,103,822,776,46,1811
Savannah,6877,6473,4500,4500,0,1111,953,158,862,840,22,404
Shady Shores,2860,2664,2442,2435,7,28,28,0,194,165,29,196
Southlake,30916,29985,27779,27558,221,987,928,59,1219,1188,31,931
The Colony,44916,37378,29814,29553,261,2292,2118,174,5272,4815,457,7538
Trophy Club,13454,12526,11379,11347,32,152,152,0,995,954,41,928
Westlake,1543,1489,1459,1459,0,14,14,0,16,16,0,54
Arlington,388671,327305,227269,224959,2310,26090,23450,2640,73946,69840,4106,61366
Azle,13552,11955,9073,8990,83,851,724,127,2031,1756,275,1597
Bedford,48791,38803,28017,27726,291,2755,2594,161,8031,7630,401,9988
Benbrook,24334,20221,14623,14623,0,2048,1794,254,3550,3447,103,4113
Blue Mound,2372,2129,1599,1564,35,158,145,13,372,360,12,243
Briar,6253,5762,4222,4208,14,532,478,54,1008,913,95,491
Burleson,50883,45984,35418,35012,406,2116,1929,187,8450,7795,655,4899
Colleyville,25875,24138,22127,22068,59,559,479,80,1452,1355,97,1737
Crowley,18957,17140,12982,12889,93,1746,1477,269,2412,2126,286,1817
Dalworthington Gardens,2047,1887,1606,1590,16,127,127,0,154,154,0,160
Edgecliff Village,3752,3243,2626,2622,4,251,221,30,366,341,25,509
Euless,60232,48567,33829,33583,246,4102,3711,391,10636,10173,463,11665
Everman,6039,4875,3754,3754,0,272,204,68,849,752,97,1164
Forest Hill,13923,12812,8030,8006,24,1014,856,158,3768,3597,171,1111
Haltom City,45575,37834,24173,24065,108,3036,2767,269,10625,9793,832,7741
Hurst,39646,32618,23444,23320,124,2605,2227,378,6569,6185,384,7028
Keller,45317,41828,37849,37665,184,1421,1275,146,2558,2449,109,3489
Kennedale,8888,7970,6464,6452,12,644,644,0,862,790,72,918
Lakeside,1483,1304,1053,1053,0,123,103,20,128,128,0,179
Lake Worth,4499,3449,2568,2464,104,259,183,76,622,543,79,1050
Mansfield,74991,68170,53787,53048,739,2725,2533,192,11658,10964,694,6821
Newark,1221,1127,751,744,7,212,182,30,164,133,31,94
North Richland Hills,69950,58880,45528,45269,259,3826,3437,389,9526,8759,767,11070
Pantego,2430,1869,1409,1401,8,92,92,0,368,327,41,561
Pecan Acres,3966,3649,3111,3111,0,51,51,0,487,427,60,317
Pelican Bay,2271,1969,1194,1178,16,484,434,50,291,265,26,302
Rendon,15842,14654,12121,11999,122,1102,896,206,1431,1307,124,1188
Reno,3156,2895,2326,2269,57,295,284,11,274,270,4,261
Richland Hills,8290,6854,4497,4497,0,337,307,30,2020,1993,27,1436
River Oaks,7432,6556,4487,4399,88,194,173,21,1875,1762,113,876
Saginaw,24467,21410,16505,16457,48,1447,1160,287,3458,3270,188,3057
Sansom Park,5290,4140,2933,2933,0,48,48,0,1159,1148,11,1150
Watauga,23246,20611,15339,15313,26,2267,1806,461,3005,2790,215,2635
Westover Hills,869,785,718,691,27,8,8,0,59,56,3,84
Westworth Village,2618,2129,1839,1809,30,117,117,0,173,148,25,489
White Settlement,17479,14714,9469,9446,23,1202,1041,161,4043,3904,139,2765
